parada/est.metro,Subidas día laboral por parada,Bajadas día Laboral por parada,comuna,Referencia,diseno_777,x,y
L-13-16-PO-5,135.92,28.70,MAIPÚ,ING. E. DOMíNGUEZ / CAMINO LA FARFANA,0,335889,6292782
L-13-36-NS-7,85.00,147.78,MAIPÚ,LLANQUILEF / ING. EDUARDO DOMíNGUEZ,0,334219,6292589
L-13-36-SN-17,149.09,42.06,MAIPÚ,ILIHUE / ING. EDUARDO DOMíNGUEZ,0,334281,6292830
L-13-31-OP-5,2.02,62.26,MAIPÚ,LICANRAY / EL ROSAL,0,334732,6292745
L-13-31-SN-10,126.66,8.76,MAIPÚ,LICANRAY / EL ROSAL,0,334731,6292721
L-13-31-PO-15,135.11,4.39,MAIPÚ,ING. E. DOMíNGUEZ / EL ROSAL,0,334877,6292867
L-13-31-OP-20,10.61,464.19,MAIPÚ,ING. E. DOMíNGUEZ / EL ROSAL,0,334879,6292914
L-13-36-NS-5,76.30,188.53,MAIPÚ,ILIHUE / ING. EDUARDO DOMíNGUEZ,0,334281,6292856
L-13-36-NS-10,202.78,216.25,MAIPÚ,ISABEL RIQUELME / ING. EDUARDO DOMíNGUEZ,0,334293,6292260
L-13-36-SN-15,198.29,29.97,MAIPÚ,MALALHUE / ING. EDUARDO DOMíNGUEZ,0,334255,6292493
L-13-36-SN-20,143.62,19.41,MAIPÚ,CATICURA / ING. EDUARDO DOMíNGUEZ,0,334450,6292970
L-13-36-NS-25,29.02,121.28,MAIPÚ,LICANRAY / ING. EDUARDO DOMíNGUEZ,0,334457,6292992
L-13-36-OP-30,29.86,14.50,MAIPÚ,AYLIN / ING. EDUARDO DOMíNGUEZ,0,334639,6292958
L-13-36-PO-35,305.42,21.12,MAIPÚ,EL ROSAL / ING. EDUARDO DOMíNGUEZ,0,334842,6292869
L-13-38-OP-5,143.74,31.48,MAIPÚ,ING. E. DOMíNGUEZ / ISABEL RIQUELME,0,334324,6292255
L-13-16-PO-10,22.24,20.66,MAIPÚ,EL ROSAL / CAMINO LA FARFANA,0,335085,6293063
L-13-16-OP-15,0.00,2.23,MAIPÚ,LICANRAY / CAMINO LA FARFANA,0,334781,6293192
E-1-4-SN-50,1295.09,1993.23,INDEPENDENCIA,PARADA 1 / NORTE SUR - DORSAL,1,343642,6302734
E-2-9-OP-55,1518.71,716.19,CONCHALI,PARADA 4 / PANAM. NORTE - 14 DE LA FAMA,1,343609,6302869
L-1-2-SN-5,107.67,58.08,INDEPENDENCIA,14 DE LA FAMA / BAJOS DE JIMéNEZ,1,343695,6302784
L-1-2-SN-10,4.98,41.20,INDEPENDENCIA,EUGENIO MATTE / BAJOS DE JIMéNEZ,1,343909,6302493
L-1-2-NS-15,58.79,8.32,INDEPENDENCIA,EUGENIO MATTE / BAJOS DE JIMéNEZ,1,343884,6302499
L-1-3-NS-10,257.10,42.10,INDEPENDENCIA,REINA MARíA / BARÓN DE JURAS REALES,1,344176,6302785
T-2-9-OP-30,180.71,80.21,CONCHALI,LA PRIMAVERA / DORSAL,1,344354,6303198
T-2-9-OP-35,263.84,317.33,CONCHALI,BARÓN DE JURAS REALES / DORSAL,1,344089,6303079
T-1-1-PO-5,201.78,275.74,INDEPENDENCIA,BARÓN DE JURAS R. / 14 DE LA FAMA,1,344055,6302949
T-1-1-PO-15,279.36,115.54,INDEPENDENCIA,FERMíN VIVACETA / 14 DE LA FAMA,1,344454,6303130
L-1-12-NS-5,60.28,14.29,INDEPENDENCIA,REINA MARíA / FERMíN VIVACETA,1,344544,6302995
L-1-12-NS-11,43.69,19.22,INDEPENDENCIA,CORONEL ALVARADO / FERMíN VIVACETA,1,344717,6302689
L-1-16-SN-5,34.43,102.20,INDEPENDENCIA,REINA MARíA / LAS ARAUCARIAS,1,344194,6302777
L-1-16-NS-10,175.63,48.61,INDEPENDENCIA,CORONEL ALVARADO / LAS ARAUCARIAS,1,344287,6302537
L-1-31-PO-5,8.55,45.86,INDEPENDENCIA,ECUADOR / REINA MARíA,1,343866,6302624
L-1-31-PO-10,7.60,94.46,INDEPENDENCIA,LAS ARAUCARIAS / REINA MARíA,1,344173,6302765
