orchestrator_timestamp,launch_index,subprocess_returncode,stdout_json_parsed,command,stderr,orchestrator_error,run_id,timestamp_start,config_id,backend,repetition,is_warmup,seed,n_rows,n_cols,k,memory_measurement_method,memory_poll_interval_ms,t_write_s,t_read_s,t_total_s,size_data_bytes,size_sidecar_bytes,size_total_bytes,peak_rss_write_MB,peak_rss_read_MB,peak_ram_total_MB,fidelity_method,fidelity_pass,fidelity_detail,status,notes,artifact_kept,artifact_path,hostname,expected_dataset_fingerprint,manifest,exception_type,exception_message,traceback
2026-04-15T23:47:18.471025Z,1,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend parquet --warmup 1 --rep 0 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234713361406Z__C1__parquet__warmup,2026-04-15T23:47:13.361390Z,C1,parquet,0,True,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.8432205,0.2480895,1.09131,31441174,17940,31459114,269.832031,335.507812,335.507812,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
2026-04-15T23:47:24.182350Z,2,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend parquet --warmup 0 --rep 0 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234719458221Z__C1__parquet__rep0,2026-04-15T23:47:19.458205Z,C1,parquet,0,False,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.8204395,0.1880429,1.0084824,31441174,17936,31459110,268.753906,336.925781,336.925781,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
2026-04-15T23:47:29.879791Z,3,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend parquet --warmup 0 --rep 1 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234725167763Z__C1__parquet__rep1,2026-04-15T23:47:25.167748Z,C1,parquet,1,False,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.782216,0.1808487,0.9630647,31441174,17936,31459110,263.796875,335.089844,335.089844,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
2026-04-15T23:47:35.783002Z,4,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend parquet --warmup 0 --rep 2 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234730890282Z__C1__parquet__rep2,2026-04-15T23:47:30.890266Z,C1,parquet,2,False,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.7688728,0.1849861,0.9538589,31441174,17936,31459110,269.667969,334.882812,334.882812,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
2026-04-15T23:47:41.723903Z,5,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend parquet --warmup 0 --rep 3 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234736784119Z__C1__parquet__rep3,2026-04-15T23:47:36.784103Z,C1,parquet,3,False,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.8244374,0.1843576,1.008795,31441174,17936,31459110,265.832031,336.382812,336.382812,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
2026-04-15T23:47:47.316482Z,6,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend parquet --warmup 0 --rep 4 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234742724430Z__C1__parquet__rep4,2026-04-15T23:47:42.724412Z,C1,parquet,4,False,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.8070848,0.1871255,0.9942103,31441174,17936,31459110,269.144531,335.6875,335.6875,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
2026-04-15T23:47:54.225213Z,7,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend feather --warmup 1 --rep 0 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234748301790Z__C1__feather__warmup,2026-04-15T23:47:48.301775Z,C1,feather,0,True,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.236033,0.1258128,0.3618458,30283570,17958,30301528,238.816406,319.820312,319.820312,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
2026-04-15T23:47:59.292611Z,8,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend feather --warmup 0 --rep 0 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234755204121Z__C1__feather__rep0,2026-04-15T23:47:55.204105Z,C1,feather,0,False,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.2326891,0.1265202,0.3592093,30283570,17954,30301524,237.398438,320.316406,320.316406,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
2026-04-15T23:48:04.683162Z,9,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend feather --warmup 0 --rep 1 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234800299605Z__C1__feather__rep1,2026-04-15T23:48:00.299589Z,C1,feather,1,False,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.2374043,0.1232802,0.3606845,30283570,17954,30301524,246.632812,320.535156,320.535156,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
2026-04-15T23:48:09.822806Z,10,0,True,C:\Users\sebam\miniconda3\envs\multisource-flows\python.exe C:\projects\pylondrina\experiments\persistence_formats\run_one.py --config C1 --backend feather --warmup 0 --rep 2 --seed 20260415 --artifacts-root C:\projects\pylondrina\data\experiments\persistence_formats\artifacts_tmp --keep-artifact 0 --memory-poll-interval-ms 10 --read-strict 0 --parquet-compression snappy --feather-compression lz4,,,20260415T234805664785Z__C1__feather__rep2,2026-04-15T23:48:05.664766Z,C1,feather,2,False,20260415,200000,36,10,psutil.Process().memory_info().rss polling,10,0.2285996,0.1272535,0.3558531,30283570,17954,30301524,243.671875,314.972656,314.972656,column_fingerprint,True,"{""shape_match"": true, ""columns_order_match"": true, ""dtypes_match"": true, ""dataset_fingerprint_match"": true, ""n_mismatched_columns"": 0}",PASS,[],False,,DESKTOP-4EPK98V,3f9af838fb90cc6551425c38e68704efb1468c90ae979e85e60b8e3db2947381,,,,
