origin,dest,count
88b2c50823fffff,88b2c556bdfffff,6.477
88b2c50825fffff,88b2c50905fffff,7.9354
88b2c50825fffff,88b2c5090bfffff,17.3762
88b2c50825fffff,88b2c5094dfffff,6.7373
88b2c50825fffff,88b2c5095dfffff,6.6613
88b2c50825fffff,88b2c50961fffff,15.780999999999999
88b2c50825fffff,88b2c50b07fffff,6.6688
88b2c50825fffff,88b2c50b09fffff,6.5455
88b2c50825fffff,88b2c50b3dfffff,7.941
88b2c50825fffff,88b2c519a9fffff,12.0657
88b2c50825fffff,88b2c54643fffff,7.9288
88b2c50825fffff,88b2c55407fffff,6.723
88b2c50825fffff,88b2c55411fffff,31.7431
88b2c50825fffff,88b2c55413fffff,31.6844
88b2c50825fffff,88b2c55417fffff,17.1063
88b2c50825fffff,88b2c5541bfffff,9.3372
88b2c50825fffff,88b2c5543bfffff,13.103
88b2c50825fffff,88b2c554cdfffff,6.5144
88b2c50825fffff,88b2c554dbfffff,10.6034
88b2c50825fffff,88b2c555cbfffff,6.682
88b2c50825fffff,88b2c55681fffff,21.096899999999998
88b2c50825fffff,88b2c55687fffff,23.7351
88b2c50825fffff,88b2c5568bfffff,23.8466
88b2c50825fffff,88b2c55691fffff,9.2786
88b2c50825fffff,88b2c55693fffff,17.25
88b2c50825fffff,88b2c556a3fffff,11.7534
88b2c50825fffff,88b2c556a7fffff,6.4706
88b2c50825fffff,88b2c556abfffff,14.6752
88b2c50825fffff,88b2c556bdfffff,9.2622
88b2c50825fffff,88b2c556d3fffff,11.8945
88b2c50825fffff,88b2c57303fffff,7.949199999999999
88b2c50827fffff,88b2c50825fffff,6.9115
88b2c50827fffff,88b2c5086dfffff,12.6264
88b2c50827fffff,88b2c5091dfffff,7.7695
88b2c50827fffff,88b2c50939fffff,11.8334
88b2c50827fffff,88b2c50961fffff,9.7976
88b2c50827fffff,88b2c50b2dfffff,6.7031
88b2c50827fffff,88b2c50b3dfffff,7.0114
88b2c50827fffff,88b2c50b67fffff,6.9047
88b2c50827fffff,88b2c519a9fffff,22.2759
88b2c50827fffff,88b2c55411fffff,13.7715
88b2c50827fffff,88b2c55413fffff,15.0669
88b2c50827fffff,88b2c55417fffff,12.2222
88b2c50827fffff,88b2c5541bfffff,6.9115
88b2c50827fffff,88b2c554a9fffff,6.7352
88b2c50827fffff,88b2c55681fffff,18.747600000000002
88b2c50827fffff,88b2c55687fffff,14.997100000000001
88b2c50827fffff,88b2c5568bfffff,37.389900000000004
88b2c50827fffff,88b2c55693fffff,6.7447
88b2c50827fffff,88b2c556a3fffff,9.9362
88b2c50827fffff,88b2c556a7fffff,8.009
88b2c50827fffff,88b2c556abfffff,9.5824
88b2c50827fffff,88b2c556b5fffff,7.3582
88b2c50827fffff,88b2c556d3fffff,11.075700000000001
88b2c50841fffff,88b2c50841fffff,18.8123
88b2c50841fffff,88b2c50845fffff,48.0865
