origin,dest,count
88b2c50905fffff,88b2c5090bfffff,6.1861999999999995
88b2c50905fffff,88b2c50931fffff,25.7853
88b2c50905fffff,88b2c50933fffff,16.0385
88b2c50905fffff,88b2c5093dfffff,48.4917
88b2c50905fffff,88b2c5095dfffff,15.684899999999999
88b2c50905fffff,88b2c50961fffff,100.6248
88b2c50905fffff,88b2c50963fffff,59.0281
88b2c50905fffff,88b2c50969fffff,21.8016
88b2c50905fffff,88b2c509a5fffff,8.4889
88b2c50905fffff,88b2c509adfffff,8.4846
88b2c50905fffff,88b2c50b01fffff,26.749299999999998
88b2c50905fffff,88b2c50b07fffff,7.263
88b2c50905fffff,88b2c50b3dfffff,20.7941
88b2c50905fffff,88b2c50b41fffff,11.2884
88b2c50905fffff,88b2c50b47fffff,8.7457
88b2c50905fffff,88b2c51981fffff,35.2993
88b2c50905fffff,88b2c51985fffff,10.9661
88b2c50905fffff,88b2c519a9fffff,129.9579
88b2c50905fffff,88b2c54297fffff,14.6692
88b2c50905fffff,88b2c54631fffff,12.166599999999999
88b2c50905fffff,88b2c546dbfffff,15.9343
88b2c50905fffff,88b2c55407fffff,35.8566
88b2c50905fffff,88b2c55411fffff,565.9602
88b2c50905fffff,88b2c55413fffff,194.6121
88b2c50905fffff,88b2c55415fffff,13.591099999999999
88b2c50905fffff,88b2c55417fffff,127.1659
88b2c50905fffff,88b2c55419fffff,42.3232
88b2c50905fffff,88b2c5541bfffff,108.663
88b2c50905fffff,88b2c5542bfffff,7.2612000000000005
88b2c50905fffff,88b2c55431fffff,35.737
88b2c50905fffff,88b2c55435fffff,10.9037
88b2c50905fffff,88b2c5543bfffff,54.9897
88b2c50905fffff,88b2c55453fffff,5.9447
88b2c50905fffff,88b2c5548bfffff,27.1602
88b2c50905fffff,88b2c55495fffff,6.5083
88b2c50905fffff,88b2c55497fffff,34.7339
88b2c50905fffff,88b2c554a9fffff,6.0879
88b2c50905fffff,88b2c554abfffff,18.3009
88b2c50905fffff,88b2c554c1fffff,88.0966
88b2c50905fffff,88b2c554c3fffff,26.9052
88b2c50905fffff,88b2c554c9fffff,62.300599999999996
88b2c50905fffff,88b2c554cdfffff,39.9303
88b2c50905fffff,88b2c554edfffff,12.0534
88b2c50905fffff,88b2c55503fffff,19.6249
88b2c50905fffff,88b2c5551dfffff,6.0832999999999995
88b2c50905fffff,88b2c55539fffff,8.5243
88b2c50905fffff,88b2c555c1fffff,13.2539
88b2c50905fffff,88b2c555cbfffff,7.263
88b2c50905fffff,88b2c555cdfffff,6.1295
88b2c50905fffff,88b2c55601fffff,18.4912
88b2c50905fffff,88b2c55615fffff,6.0832999999999995
88b2c50905fffff,88b2c55633fffff,7.263
88b2c50905fffff,88b2c5563bfffff,7.3346
88b2c50905fffff,88b2c55681fffff,151.9536
88b2c50905fffff,88b2c55687fffff,124.2884
88b2c50905fffff,88b2c5568bfffff,155.814
88b2c50905fffff,88b2c55691fffff,12.6321
88b2c50905fffff,88b2c55693fffff,22.1829
88b2c50905fffff,88b2c556a3fffff,43.8823
88b2c50905fffff,88b2c556a7fffff,162.09969999999998
88b2c50905fffff,88b2c556abfffff,66.5148
88b2c50905fffff,88b2c556d3fffff,62.629
88b2c50905fffff,88b2c556d7fffff,47.9546
88b2c50905fffff,88b2c57303fffff,13.3717
88b2c50905fffff,88b2c57309fffff,10.9453
88b2c50905fffff,88b2c57315fffff,35.2793
88b2c50905fffff,88b2c57341fffff,25.6666
88b2c50905fffff,88b2c5734dfffff,7.2214
88b2c5090bfffff,88b2c50905fffff,29.903100000000002
88b2c5090bfffff,88b2c50931fffff,176.1982
88b2c5090bfffff,88b2c50933fffff,61.5137
88b2c5090bfffff,88b2c50935fffff,17.6279
88b2c5090bfffff,88b2c50939fffff,120.997
88b2c5090bfffff,88b2c5093dfffff,34.0115
88b2c5090bfffff,88b2c50955fffff,153.8722
88b2c5090bfffff,88b2c5095dfffff,118.92750000000001
88b2c5090bfffff,88b2c50961fffff,91.2268
88b2c5090bfffff,88b2c50963fffff,13.5304
88b2c5090bfffff,88b2c50969fffff,38.931400000000004
88b2c5090bfffff,88b2c509a5fffff,131.9475
88b2c5090bfffff,88b2c509adfffff,80.7809
88b2c5090bfffff,88b2c50b01fffff,441.588
88b2c5090bfffff,88b2c50b07fffff,136.9999
88b2c5090bfffff,88b2c50b35fffff,55.1041
88b2c5090bfffff,88b2c50b3dfffff,317.6377
88b2c5090bfffff,88b2c50b41fffff,231.2971
88b2c5090bfffff,88b2c50b47fffff,103.0279
88b2c5090bfffff,88b2c51981fffff,233.0353
88b2c5090bfffff,88b2c51985fffff,131.6444
88b2c5090bfffff,88b2c519a9fffff,863.1944
88b2c5090bfffff,88b2c54297fffff,16.2713
88b2c5090bfffff,88b2c54601fffff,17.729300000000002
88b2c5090bfffff,88b2c54603fffff,12.5891
88b2c5090bfffff,88b2c54609fffff,11.0882
88b2c5090bfffff,88b2c54631fffff,169.90970000000002
88b2c5090bfffff,88b2c54643fffff,8.700099999999999
88b2c5090bfffff,88b2c5464bfffff,8.6168
88b2c5090bfffff,88b2c546c3fffff,11.489
88b2c5090bfffff,88b2c546dbfffff,56.85
88b2c5090bfffff,88b2c546e9fffff,16.1586
88b2c5090bfffff,88b2c546ebfffff,85.1067
88b2c5090bfffff,88b2c55407fffff,37.9787
88b2c5090bfffff,88b2c55411fffff,523.936
88b2c5090bfffff,88b2c55413fffff,449.5682
88b2c5090bfffff,88b2c55415fffff,20.2273
88b2c5090bfffff,88b2c55417fffff,288.5642
88b2c5090bfffff,88b2c55419fffff,99.0881
88b2c5090bfffff,88b2c5541bfffff,112.7039
88b2c5090bfffff,88b2c55425fffff,8.597900000000001
88b2c5090bfffff,88b2c5542bfffff,18.9604
88b2c5090bfffff,88b2c55431fffff,93.7609
88b2c5090bfffff,88b2c55435fffff,44.548
88b2c5090bfffff,88b2c5543bfffff,152.6326
88b2c5090bfffff,88b2c55453fffff,23.7257
88b2c5090bfffff,88b2c5545bfffff,6.577299999999999
88b2c5090bfffff,88b2c5548bfffff,31.422900000000002
88b2c5090bfffff,88b2c55495fffff,28.5496
88b2c5090bfffff,88b2c55497fffff,41.261900000000004
88b2c5090bfffff,88b2c554a3fffff,18.4346
88b2c5090bfffff,88b2c554a9fffff,39.7158
88b2c5090bfffff,88b2c554abfffff,18.6132
88b2c5090bfffff,88b2c554b5fffff,40.3021
88b2c5090bfffff,88b2c554c1fffff,126.17840000000001
88b2c5090bfffff,88b2c554c3fffff,26.1837
88b2c5090bfffff,88b2c554c9fffff,73.6524
88b2c5090bfffff,88b2c554cdfffff,63.5718
88b2c5090bfffff,88b2c554e1fffff,10.0379
88b2c5090bfffff,88b2c554edfffff,36.4651
88b2c5090bfffff,88b2c55503fffff,16.4331
88b2c5090bfffff,88b2c55513fffff,13.467400000000001
88b2c5090bfffff,88b2c55539fffff,10.0039
88b2c5090bfffff,88b2c555c1fffff,13.632800000000001
88b2c5090bfffff,88b2c555cbfffff,25.4111
88b2c5090bfffff,88b2c555cdfffff,7.3303
88b2c5090bfffff,88b2c55601fffff,39.4936
88b2c5090bfffff,88b2c55615fffff,12.4618
88b2c5090bfffff,88b2c55633fffff,15.400400000000001
88b2c5090bfffff,88b2c55681fffff,537.6251
88b2c5090bfffff,88b2c55687fffff,508.28520000000003
88b2c5090bfffff,88b2c5568bfffff,1611.8767
88b2c5090bfffff,88b2c55691fffff,271.8496
88b2c5090bfffff,88b2c55693fffff,534.7828
88b2c5090bfffff,88b2c556a3fffff,164.867
88b2c5090bfffff,88b2c556a7fffff,137.6985
88b2c5090bfffff,88b2c556abfffff,324.4075
88b2c5090bfffff,88b2c556d3fffff,586.62
88b2c5090bfffff,88b2c556d7fffff,366.821
88b2c5090bfffff,88b2c57303fffff,190.9736
88b2c5090bfffff,88b2c57309fffff,91.0194
88b2c5090bfffff,88b2c57315fffff,195.7451
88b2c5090bfffff,88b2c57341fffff,154.0303
88b2c5090bfffff,88b2c5734dfffff,43.9662
88b2c50931fffff,88b2c50905fffff,50.929
88b2c50931fffff,88b2c5090bfffff,139.4519
88b2c50931fffff,88b2c50933fffff,55.312
88b2c50931fffff,88b2c50935fffff,45.1987
88b2c50931fffff,88b2c50939fffff,189.196
88b2c50931fffff,88b2c5093dfffff,41.6103
88b2c50931fffff,88b2c50955fffff,44.1579
88b2c50931fffff,88b2c5095dfffff,91.8582
88b2c50931fffff,88b2c50961fffff,368.5636
88b2c50931fffff,88b2c50963fffff,43.7351
88b2c50931fffff,88b2c50969fffff,148.3738
88b2c50931fffff,88b2c509a5fffff,74.42060000000001
88b2c50931fffff,88b2c509adfffff,62.7925
88b2c50931fffff,88b2c50b01fffff,256.3943
88b2c50931fffff,88b2c50b07fffff,57.719
88b2c50931fffff,88b2c50b35fffff,24.3455
88b2c50931fffff,88b2c50b3dfffff,242.5875
88b2c50931fffff,88b2c50b41fffff,143.333
88b2c50931fffff,88b2c50b47fffff,53.394
88b2c50931fffff,88b2c51981fffff,128.1079
88b2c50931fffff,88b2c51985fffff,72.946
88b2c50931fffff,88b2c519a9fffff,655.4288
88b2c50931fffff,88b2c54297fffff,45.6454
88b2c50931fffff,88b2c5429dfffff,16.932
88b2c50931fffff,88b2c542d1fffff,10.0199
88b2c50931fffff,88b2c542d7fffff,6.1953
88b2c50931fffff,88b2c542d9fffff,7.5018
88b2c50931fffff,88b2c54601fffff,15.5357
88b2c50931fffff,88b2c54603fffff,5.9656
88b2c50931fffff,88b2c54609fffff,10.7166
88b2c50931fffff,88b2c54631fffff,87.866
88b2c50931fffff,88b2c54643fffff,8.436
88b2c50931fffff,88b2c5464bfffff,10.7455
88b2c50931fffff,88b2c546c3fffff,25.87
88b2c50931fffff,88b2c546dbfffff,75.5496
88b2c50931fffff,88b2c546ebfffff,34.6328
88b2c50931fffff,88b2c55407fffff,150.75300000000001
88b2c50931fffff,88b2c55411fffff,2368.6086
88b2c50931fffff,88b2c55413fffff,960.6578
88b2c50931fffff,88b2c55415fffff,87.9882
88b2c50931fffff,88b2c55417fffff,750.6739
88b2c50931fffff,88b2c55419fffff,207.3069
88b2c50931fffff,88b2c5541bfffff,390.9201
88b2c50931fffff,88b2c55425fffff,19.5572
88b2c50931fffff,88b2c5542bfffff,61.0872
88b2c50931fffff,88b2c55431fffff,206.0754
88b2c50931fffff,88b2c55435fffff,92.6124
88b2c50931fffff,88b2c5543bfffff,353.38620000000003
88b2c50931fffff,88b2c55453fffff,30.4695
88b2c50931fffff,88b2c5545bfffff,17.201
88b2c50931fffff,88b2c5548bfffff,140.0554
88b2c50931fffff,88b2c55495fffff,113.4368
88b2c50931fffff,88b2c55497fffff,116.3939
88b2c50931fffff,88b2c554a3fffff,27.2366
88b2c50931fffff,88b2c554a9fffff,71.777
88b2c50931fffff,88b2c554abfffff,35.8908
88b2c50931fffff,88b2c554b5fffff,30.562
88b2c50931fffff,88b2c554c1fffff,446.353
88b2c50931fffff,88b2c554c3fffff,105.6458
88b2c50931fffff,88b2c554c9fffff,286.7343
88b2c50931fffff,88b2c554cdfffff,215.8673
88b2c50931fffff,88b2c554e1fffff,26.5651
88b2c50931fffff,88b2c554edfffff,93.3616
88b2c50931fffff,88b2c55503fffff,49.1855
88b2c50931fffff,88b2c55513fffff,40.7923
88b2c50931fffff,88b2c5551dfffff,20.976
88b2c50931fffff,88b2c55533fffff,8.515699999999999
88b2c50931fffff,88b2c55539fffff,28.8392
88b2c50931fffff,88b2c555c1fffff,50.4813
88b2c50931fffff,88b2c555cbfffff,34.1739
88b2c50931fffff,88b2c555cdfffff,20.8818
88b2c50931fffff,88b2c55601fffff,64.0272
88b2c50931fffff,88b2c55615fffff,22.7575
88b2c50931fffff,88b2c55633fffff,48.3259
88b2c50931fffff,88b2c5563bfffff,7.179
88b2c50931fffff,88b2c55681fffff,433.975
88b2c50931fffff,88b2c55687fffff,505.589
88b2c50931fffff,88b2c5568bfffff,1337.8025
88b2c50931fffff,88b2c55691fffff,152.8054
88b2c50931fffff,88b2c55693fffff,317.5897
88b2c50931fffff,88b2c556a3fffff,234.5983
88b2c50931fffff,88b2c556a7fffff,571.0381
88b2c50931fffff,88b2c556abfffff,349.0427
88b2c50931fffff,88b2c556d3fffff,451.5259
88b2c50931fffff,88b2c556d7fffff,290.45120000000003
88b2c50931fffff,88b2c57303fffff,66.5061
88b2c50931fffff,88b2c57309fffff,53.9346
88b2c50931fffff,88b2c57315fffff,106.7023
88b2c50931fffff,88b2c57341fffff,92.8691
88b2c50931fffff,88b2c5734dfffff,18.758
88b2c50933fffff,88b2c50905fffff,7.5094
88b2c50933fffff,88b2c5090bfffff,27.347800000000003
88b2c50933fffff,88b2c50931fffff,8.630500000000001
88b2c50933fffff,88b2c50939fffff,29.735400000000002
88b2c50933fffff,88b2c5093dfffff,12.549
88b2c50933fffff,88b2c5095dfffff,19.962200000000003
88b2c50933fffff,88b2c50961fffff,27.436600000000002
88b2c50933fffff,88b2c50963fffff,8.695500000000001
88b2c50933fffff,88b2c50969fffff,11.3902
88b2c50933fffff,88b2c509a5fffff,22.5214
88b2c50933fffff,88b2c509adfffff,27.4529
88b2c50933fffff,88b2c50b01fffff,40.9842
88b2c50933fffff,88b2c50b3dfffff,47.3517
88b2c50933fffff,88b2c50b41fffff,11.2745
88b2c50933fffff,88b2c50b47fffff,17.3781
88b2c50933fffff,88b2c51981fffff,17.4736
88b2c50933fffff,88b2c51985fffff,13.6963
88b2c50933fffff,88b2c519a9fffff,78.1725
88b2c50933fffff,88b2c54631fffff,17.3936
88b2c50933fffff,88b2c546ebfffff,7.4655000000000005
88b2c50933fffff,88b2c55411fffff,111.358
88b2c50933fffff,88b2c55413fffff,64.2917
88b2c50933fffff,88b2c55415fffff,7.4588
88b2c50933fffff,88b2c55417fffff,61.8311
88b2c50933fffff,88b2c55419fffff,15.0425
88b2c50933fffff,88b2c5541bfffff,21.142200000000003
88b2c50933fffff,88b2c55431fffff,12.3076
88b2c50933fffff,88b2c5543bfffff,32.347300000000004
88b2c50933fffff,88b2c5548bfffff,6.1676
88b2c50933fffff,88b2c55495fffff,7.409400000000001
88b2c50933fffff,88b2c554a9fffff,13.6942
88b2c50933fffff,88b2c554abfffff,8.6964
88b2c50933fffff,88b2c554b5fffff,6.3944
