id,name,lat,lon
88b2c50905fffff,88b2c50905fffff,-33.50907394170832,-70.60626746638216
88b2c5090bfffff,88b2c5090bfffff,-33.505901602030306,-70.58734424540995
88b2c50931fffff,88b2c50931fffff,-33.527378103247926,-70.59868841822866
88b2c50933fffff,88b2c50933fffff,-33.53294917073995,-70.59300777408617
88b2c50935fffff,88b2c50935fffff,-33.52896403320471,-70.6081513181833
88b2c50939fffff,88b2c50939fffff,-33.52021995786989,-70.59490670435062
88b2c5093dfffff,88b2c5093dfffff,-33.52180607578316,-70.6043690447333
88b2c50955fffff,88b2c50955fffff,-33.49874139200998,-70.58356350033046
88b2c5095dfffff,88b2c5095dfffff,-33.49158049421701,-70.57978307816694
88b2c50961fffff,88b2c50961fffff,-33.497924086145844,-70.61762815727299
88b2c50963fffff,88b2c50963fffff,-33.50349949383218,-70.61194782077597
88b2c50969fffff,88b2c50969fffff,-33.49076325001794,-70.61384582006389
88b2c509a5fffff,88b2c509a5fffff,-33.55839964543232,-70.58920940939338
88b2c509adfffff,88b2c509adfffff,-33.551244380018865,-70.58542775984
88b2c50b01fffff,88b2c50b01fffff,-33.45735349724349,-70.5703431140686
88b2c50b07fffff,88b2c50b07fffff,-33.4645176443627,-70.57412248154279
88b2c50b35fffff,88b2c50b35fffff,-33.47884387780047,-70.58168218505683
88b2c50b3dfffff,88b2c50b3dfffff,-33.47168110462217,-70.57790217186937
88b2c50b41fffff,88b2c50b41fffff,-33.43744465055005,-70.56846335242408
88b2c50b47fffff,88b2c50b47fffff,-33.44461067107002,-70.57224231109237
88b2c51981fffff,88b2c51981fffff,-33.407185253961025,-70.54389658090344
88b2c51985fffff,88b2c51985fffff,-33.40877370902981,-70.55335074563905
88b2c519a9fffff,88b2c519a9fffff,-33.41036151996691,-70.56280569035063
88b2c54297fffff,88b2c54297fffff,-33.50730354452623,-70.75207669392857
88b2c5429dfffff,88b2c5429dfffff,-33.49455940677118,-70.75396948303481
88b2c542d1fffff,88b2c542d1fffff,-33.48023757759017,-70.74638984788847
88b2c542d7fffff,88b2c542d7fffff,-33.487398837331355,-70.75017950424638
88b2c542d9fffff,88b2c542d9fffff,-33.47307562776836,-70.74260051395306
88b2c54601fffff,88b2c54601fffff,-33.5185754244779,-70.66305579270978
88b2c54603fffff,88b2c54603fffff,-33.52415166835983,-70.65737411263963
88b2c54609fffff,88b2c54609fffff,-33.51141671930003,-70.65927057410306
88b2c54643fffff,88b2c54643fffff,-33.50425732480761,-70.6554856782402
88b2c5464bfffff,88b2c5464bfffff,-33.4970972412212,-70.65170110511289
88b2c546c3fffff,88b2c546c3fffff,-33.543277881284176,-70.61571683387656
88b2c546dbfffff,88b2c546dbfffff,-33.545675733417376,-70.59110867577316
88b2c546e9fffff,88b2c546e9fffff,-33.540874640405775,-70.64032896008244
88b2c546ebfffff,88b2c546ebfffff,-33.546447044420795,-70.63464720548669
88b2c55407fffff,88b2c55407fffff,-33.436531265728455,-70.68011064564398
88b2c55413fffff,88b2c55413fffff,-33.444539996110024,-70.64982234434589
88b2c55415fffff,88b2c55415fffff,-33.44053689338169,-70.66496590009952
88b2c55417fffff,88b2c55417fffff,-33.44612143765738,-70.65928596546519
88b2c55419fffff,88b2c55419fffff,-33.43178969687766,-70.6517184809572
88b2c5541bfffff,88b2c5541bfffff,-33.437374282004214,-70.64603899928198
88b2c55425fffff,88b2c55425fffff,-33.441267009153755,-70.70850977983164
88b2c5542bfffff,88b2c5542bfffff,-33.438110494439414,-70.68957624987975
88b2c55431fffff,88b2c55431fffff,-33.44928237949509,-70.67821553347532
88b2c55435fffff,88b2c55435fffff,-33.4508618793356,-70.6876814795234
88b2c5543bfffff,88b2c5543bfffff,-33.447702232194054,-70.66875036198208
88b2c55453fffff,88b2c55453fffff,-33.42462279522914,-70.64793522254423
88b2c5545bfffff,88b2c5545bfffff,-33.41745520637067,-70.64415228668094
88b2c5548bfffff,88b2c5548bfffff,-33.466866741786106,-70.62710328875808
88b2c55495fffff,88b2c55495fffff,-33.47960855447625,-70.62520596624027
88b2c55497fffff,88b2c55497fffff,-33.48518638209035,-70.61952590217409
88b2c554a3fffff,88b2c554a3fffff,-33.484357263312305,-70.65359757211242
88b2c554a9fffff,88b2c554a9fffff,-33.47161463643072,-70.65549387115887
88b2c554abfffff,88b2c554abfffff,-33.477195301844986,-70.6498134084165
88b2c554b5fffff,88b2c554b5fffff,-33.48993646876146,-70.64791685471293
88b2c554c1fffff,88b2c554c1fffff,-33.44854057415463,-70.63467998035846
88b2c554c3fffff,88b2c554c3fffff,-33.45412228109585,-70.62900044333327
88b2c554c9fffff,88b2c554c9fffff,-33.44137517288347,-70.63089742998393
88b2c554cdfffff,88b2c554cdfffff,-33.442957907777,-70.64035949904522
88b2c554e1fffff,88b2c554e1fffff,-33.4588693610531,-70.65739000227042
88b2c554edfffff,88b2c554edfffff,-33.453286276345146,-70.6630701915767
88b2c55503fffff,88b2c55503fffff,-33.44599692108807,-70.73691587212758
88b2c55511fffff,88b2c55511fffff,-33.45000919165499,-70.72176519155857
88b2c55513fffff,88b2c55513fffff,-33.45559649184677,-70.71608396077833
88b2c55519fffff,88b2c55519fffff,-33.44284429470795,-70.71797770470364
88b2c55533fffff,88b2c55533fffff,-33.46591298808679,-70.73881150243218
88b2c55539fffff,88b2c55539fffff,-33.453161439801946,-70.74070447379488
88b2c555c1fffff,88b2c555c1fffff,-33.45960481715716,-70.7009346583434
88b2c555cbfffff,88b2c555cbfffff,-33.458026153569016,-70.6914673802224
88b2c555cdfffff,88b2c555cdfffff,-33.45401893573609,-70.706615693597
88b2c55601fffff,88b2c55601fffff,-33.37918130862548,-70.64984020917336
88b2c55615fffff,88b2c55615fffff,-33.39036027441615,-70.63848369770426
88b2c55633fffff,88b2c55633fffff,-33.40469988605737,-70.64604842868845
88b2c5563bfffff,88b2c5563bfffff,-33.39753042349392,-70.64226590194889
88b2c55687fffff,88b2c55687fffff,-33.42545855380063,-70.61387312247555
88b2c55691fffff,88b2c55691fffff,-33.42787093721526,-70.58927693298851
88b2c55693fffff,88b2c55693fffff,-33.43345180789388,-70.5835987429789
88b2c556a3fffff,88b2c556a3fffff,-33.434209084315995,-70.62711520224877
88b2c556abfffff,88b2c556abfffff,-33.42704230867405,-70.62333329714468
88b2c556d3fffff,88b2c556d3fffff,-33.41353520854255,-70.58171791802745
88b2c556d7fffff,88b2c556d7fffff,-33.41512108572952,-70.59117520015504
88b2c57303fffff,88b2c57303fffff,-33.60211827440115,-70.57782866857889
88b2c57309fffff,88b2c57309fffff,-33.58940377866128,-70.57972869357313
88b2c57315fffff,88b2c57315fffff,-33.60768011552267,-70.5721467182498
88b2c57341fffff,88b2c57341fffff,-33.576686630707066,-70.581628550436
88b2c5734dfffff,88b2c5734dfffff,-33.571120906316146,-70.58730997492877
88b2c54631fffff,88b2c54631fffff,-33.53846600878679,-70.66494504626542
88b2c55411fffff,88b2c55411fffff,-33.43895591109434,-70.6555020619281
88b2c5551dfffff,88b2c5551dfffff,-33.4444209320942,-70.7274464022765
88b2c55681fffff,88b2c55681fffff,-33.4182909047735,-70.61009209889252
88b2c5568bfffff,88b2c5568bfffff,-33.41670631788169,-70.60063326058318
88b2c556a7fffff,88b2c556a7fffff,-33.435792006336385,-70.63657671258198
