origin,dest,count
87b2c0851ffffff,87b2c0853ffffff,1546.7608
87b2c0853ffffff,87b2c0853ffffff,1491.8915829516843
87b2c0853ffffff,87b2c085effffff,2661.165132221172
87b2c085effffff,87b2c085effffff,1086.00402
87b2c08edffffff,87b2c0853ffffff,166.8395609865371
87b2c08edffffff,87b2c085effffff,114.48614665733778
87b2c08edffffff,87b2c08edffffff,658.8659061411695
87b2c08edffffff,87b2c5543ffffff,163.54282
87b2c0b04ffffff,87b2c0b23ffffff,237.16348880421978
87b2c0b22ffffff,87b2c0b23ffffff,204.4216653887018
87b2c0b22ffffff,87b2c54d2ffffff,160.11377
87b2c0b71ffffff,87b2c0b62ffffff,77.67188999999999
87b2c0b71ffffff,87b2c0b70ffffff,126.7566497383176
87b2c0b71ffffff,87b2c0b73ffffff,75.6506166642533
87b2c4269ffffff,87b2c4269ffffff,1956.9407796087862
87b2c5082ffffff,87b2c50b1ffffff,121.07075
87b2c5083ffffff,87b2c5091ffffff,231.957598597983
87b2c5083ffffff,87b2c5095ffffff,512.5139525420956
87b2c5084ffffff,87b2c5084ffffff,1354.0053795757049
87b2c5084ffffff,87b2c50b1ffffff,665.9380087828542
87b2c5090ffffff,87b2c5090ffffff,573.7046217959562
87b2c5090ffffff,87b2c5094ffffff,906.804823688635
87b2c5091ffffff,87b2c5091ffffff,668.27206936692
87b2c5091ffffff,87b2c5541ffffff,223.6140306079334
87b2c5092ffffff,87b2c5092ffffff,550.5721440164077
87b2c5092ffffff,87b2c5461ffffff,2066.9020905586794
87b2c5092ffffff,87b2c5465ffffff,948.653587206498
87b2c5093ffffff,87b2c5092ffffff,133.29863999999998
87b2c5093ffffff,87b2c5093ffffff,232.6385858850208
87b2c5093ffffff,87b2c5541ffffff,413.7421985312404
87b2c5094ffffff,87b2c5090ffffff,1299.1279074534762
87b2c5094ffffff,87b2c5093ffffff,480.231006932324
87b2c5094ffffff,87b2c5094ffffff,800.2517907210437
87b2c5096ffffff,87b2c5096ffffff,497.9626699749617
87b2c5096ffffff,87b2c554cffffff,534.2090030039122
87b2c509affffff,87b2c509affffff,1453.1712108861457
87b2c509affffff,87b2c5543ffffff,1009.1064093960849
87b2c509bffffff,87b2c509affffff,886.149967312305
87b2c509bffffff,87b2c509bffffff,1553.426224090429
87b2c509cffffff,87b2c5091ffffff,416.3317009452482
87b2c509cffffff,87b2c509cffffff,579.259363544577
87b2c509effffff,87b2c509affffff,513.161601207583
87b2c509effffff,87b2c509cffffff,213.45620150085372
87b2c509effffff,87b2c509effffff,752.5711337597938
87b2c50a6ffffff,87b2c50b5ffffff,1165.46138526402
87b2c50b0ffffff,87b2c50b1ffffff,692.4629936823226
87b2c50b0ffffff,87b2c50b4ffffff,351.9611051117356
87b2c50b0ffffff,87b2c50b6ffffff,538.9095665699081
87b2c50b1ffffff,87b2c5084ffffff,1875.4584
87b2c50b1ffffff,87b2c50b1ffffff,2290.148161818471
87b2c50b1ffffff,87b2c50b2ffffff,476.54453
87b2c50b1ffffff,87b2c50b3ffffff,1356.6936527404375
87b2c50b2ffffff,87b2c50b2ffffff,545.3807941869986
87b2c50b2ffffff,87b2c50b6ffffff,636.4557475873557
87b2c50b2ffffff,87b2c5192ffffff,162.07824188415
87b2c50b2ffffff,87b2c554cffffff,241.9964401779967
87b2c50b3ffffff,87b2c50b1ffffff,766.3829430135006
87b2c50b3ffffff,87b2c50b2ffffff,1155.9077227041337
87b2c50b3ffffff,87b2c50b3ffffff,2088.667365458025
87b2c50b3ffffff,87b2c554dffffff,198.9548209553385
87b2c50b4ffffff,87b2c50b4ffffff,102.3148219105336
87b2c50b4ffffff,87b2c50b6ffffff,111.9750293154816
87b2c50b5ffffff,87b2c50b5ffffff,796.158910689237
87b2c50b6ffffff,87b2c5082ffffff,184.830075757827
87b2c50b6ffffff,87b2c50b6ffffff,3294.719596981073
87b2c50b6ffffff,87b2c5541ffffff,1201.5262729567364
87b2c50b6ffffff,87b2c556bffffff,1868.003340946355
87b2c5181ffffff,87b2c5181ffffff,1523.2980146604464
87b2c5182ffffff,87b2c5191ffffff,228.2732404566405
87b2c5183ffffff,87b2c5541ffffff,572.6018725578261
87b2c5184ffffff,87b2c5180ffffff,597.360262610442
87b2c5184ffffff,87b2c5185ffffff,527.97961392672
87b2c5184ffffff,87b2c51b3ffffff,790.989425313918
87b2c5193ffffff,87b2c519effffff,371.34890919041436
87b2c5193ffffff,87b2c5569ffffff,1064.056946096826
87b2c5198ffffff,87b2c518affffff,506.403918483113
87b2c5198ffffff,87b2c519bffffff,717.629216274919
87b2c5199ffffff,87b2c5199ffffff,539.4497635931419
87b2c519affffff,87b2c50b6ffffff,478.299338331426
87b2c519affffff,87b2c5198ffffff,2062.3808034759654
87b2c519affffff,87b2c519affffff,545.042879329804
87b2c519affffff,87b2c5541ffffff,498.6286262019909
87b2c519bffffff,87b2c519effffff,1684.5210186393278
87b2c519cffffff,87b2c518affffff,216.1326479736665
87b2c519cffffff,87b2c5191ffffff,1066.740067041876
87b2c519cffffff,87b2c5541ffffff,986.3241282205479
87b2c519effffff,87b2c519effffff,1192.1085853784334
87b2c51aeffffff,87b2c5181ffffff,225.9861092994946
87b2c51b0ffffff,87b2c51b1ffffff,382.33370364136204
87b2c51b1ffffff,87b2c5185ffffff,623.552456921792
87b2c51b1ffffff,87b2c51b3ffffff,368.13445827943144
87b2c51b1ffffff,87b2c556dffffff,269.162049930057
87b2c5408ffffff,87b2c5408ffffff,461.3093063719515
87b2c5408ffffff,87b2c5429ffffff,1568.261538179623
87b2c5409ffffff,87b2c5476ffffff,462.71151977926
87b2c540bffffff,87b2c5476ffffff,375.665129914187
87b2c540bffffff,87b2c54e4ffffff,510.24997471020845
87b2c540cffffff,87b2c540cffffff,347.64098960287936
87b2c540cffffff,87b2c540dffffff,1026.4787203481
87b2c540cffffff,87b2c542bffffff,1797.9885541792232
87b2c540cffffff,87b2c5476ffffff,1011.7310421015886
87b2c540cffffff,87b2c5541ffffff,493.2303790381644
87b2c540cffffff,87b2c5543ffffff,201.200730507115
87b2c540dffffff,87b2c540dffffff,526.2327865387203
87b2c540dffffff,87b2c542bffffff,994.7005825257551
87b2c540dffffff,87b2c5543ffffff,979.2955189798109
87b2c540dffffff,87b2c556affffff,332.468522950221
87b2c5428ffffff,87b2c5428ffffff,1384.5730177959356
87b2c5428ffffff,87b2c5429ffffff,1832.559495764253
87b2c5428ffffff,87b2c542dffffff,299.02839424307035
87b2c5428ffffff,87b2c5541ffffff,682.5639476530225
87b2c5428ffffff,87b2c556affffff,337.73651796404397
87b2c5429ffffff,87b2c5429ffffff,1012.2243336747445
87b2c5429ffffff,87b2c542bffffff,257.41344516552226
87b2c5429ffffff,87b2c5474ffffff,811.3385405762779
87b2c542affffff,87b2c542affffff,1320.5571923346813
87b2c542affffff,87b2c542bffffff,2657.905347509188
87b2c542affffff,87b2c5476ffffff,728.2189767109501
87b2c542bffffff,87b2c5429ffffff,626.39587073699
87b2c542bffffff,87b2c542bffffff,1330.3331267351023
87b2c542cffffff,87b2c542dffffff,280.644367553095
87b2c542dffffff,87b2c542dffffff,516.747472129816
87b2c542dffffff,87b2c5543ffffff,441.2450717019269
87b2c542dffffff,87b2c555effffff,426.71232
87b2c5440ffffff,87b2c5440ffffff,692.0218989360264
87b2c5441ffffff,87b2c5440ffffff,281.324705436314
87b2c5441ffffff,87b2c5441ffffff,1791.969034520614
87b2c5441ffffff,87b2c5445ffffff,717.1698267605561
87b2c5441ffffff,87b2c5463ffffff,1153.9287299337905
87b2c5441ffffff,87b2c5541ffffff,311.8316805704559
87b2c5442ffffff,87b2c5442ffffff,671.9933982154918
87b2c5442ffffff,87b2c545cffffff,985.11057
87b2c5443ffffff,87b2c5440ffffff,721.945411243756
87b2c5443ffffff,87b2c5443ffffff,2429.271626667799
87b2c5443ffffff,87b2c5445ffffff,381.545757982388
87b2c5443ffffff,87b2c545cffffff,670.1392919879938
87b2c5444ffffff,87b2c5445ffffff,1354.368878538617
87b2c5445ffffff,87b2c5445ffffff,2445.801094639069
87b2c5445ffffff,87b2c5463ffffff,647.7986
87b2c5449ffffff,87b2c5449ffffff,1354.3246234156602
87b2c544cffffff,87b2c546bffffff,624.210142720348
87b2c544dffffff,87b2c544dffffff,442.53202999999996
87b2c544dffffff,87b2c546bffffff,257.9957247780475
87b2c544effffff,87b2c5442ffffff,466.2238327743346
87b2c544effffff,87b2c5443ffffff,1757.4456935837732
87b2c544effffff,87b2c5445ffffff,506.29851218163
87b2c544effffff,87b2c544effffff,1761.9709152349033
87b2c544effffff,87b2c545cffffff,905.0472931423379
87b2c5458ffffff,87b2c5443ffffff,712.468863392864
87b2c5458ffffff,87b2c545dffffff,1059.8737123729811
87b2c5459ffffff,87b2c545dffffff,1531.402685679006
87b2c545cffffff,87b2c545cffffff,884.1391101267154
87b2c545dffffff,87b2c5443ffffff,285.639444798409
87b2c545dffffff,87b2c545cffffff,1344.9915530750256
87b2c545dffffff,87b2c545dffffff,419.1968118653195
87b2c5460ffffff,87b2c5460ffffff,1128.3566205952127
87b2c5460ffffff,87b2c5463ffffff,504.283148573815
87b2c5460ffffff,87b2c5464ffffff,2177.3592553566377
87b2c5460ffffff,87b2c5543ffffff,1625.7456688019365
87b2c5460ffffff,87b2c556affffff,1926.393964402885
87b2c5461ffffff,87b2c5460ffffff,224.39247231274277
87b2c5461ffffff,87b2c5461ffffff,750.6410791992613
87b2c5463ffffff,87b2c5463ffffff,2122.7765466729575
87b2c5463ffffff,87b2c5464ffffff,340.6485895606009
87b2c5464ffffff,87b2c5464ffffff,876.011053950768
87b2c5464ffffff,87b2c5541ffffff,642.6475890087615
87b2c5464ffffff,87b2c554affffff,916.734991079746
87b2c5464ffffff,87b2c554bffffff,600.529100207953
87b2c5465ffffff,87b2c5464ffffff,694.455938039494
87b2c5465ffffff,87b2c5465ffffff,611.0466422874101
87b2c5466ffffff,87b2c5464ffffff,271.74372573455196
87b2c5466ffffff,87b2c5466ffffff,2911.954447811962
87b2c5468ffffff,87b2c5461ffffff,604.1625727025701
87b2c5468ffffff,87b2c5463ffffff,753.3762431230231
87b2c5468ffffff,87b2c5468ffffff,4237.192739763582
87b2c5468ffffff,87b2c546cffffff,677.1457400841514
87b2c5468ffffff,87b2c546dffffff,310.4679728905374
87b2c5468ffffff,87b2c546effffff,911.4532517075377
87b2c5468ffffff,87b2c5541ffffff,459.9612393359925
87b2c5469ffffff,87b2c509affffff,1989.5916601172373
87b2c5469ffffff,87b2c5469ffffff,635.960801523263
87b2c5469ffffff,87b2c546dffffff,473.23497661414
87b2c5469ffffff,87b2c5736ffffff,683.0988215989425
87b2c546affffff,87b2c5445ffffff,383.2833065029375
87b2c546affffff,87b2c5468ffffff,1418.9710484512352
87b2c546affffff,87b2c546affffff,579.3302328038717
87b2c546affffff,87b2c546effffff,509.5202662736698
87b2c546bffffff,87b2c546bffffff,276.0142805917044
87b2c546cffffff,87b2c5461ffffff,1252.2433564316145
87b2c546cffffff,87b2c546effffff,1028.088921668816
87b2c546dffffff,87b2c5093ffffff,1156.8920578184534
87b2c546dffffff,87b2c546dffffff,3232.6441014272555
87b2c546effffff,87b2c5461ffffff,625.4947395215925
87b2c546effffff,87b2c5468ffffff,1207.8235276989142
87b2c546effffff,87b2c546cffffff,871.739842366462
