movement_id,user_id,trip_id,movement_seq,origin_longitude,origin_latitude,destination_longitude,destination_latitude,origin_time_utc,destination_time_utc,origin_h3_index,destination_h3_index,mode,purpose,user_gender,origin_municipality,destination_municipality,trip_weight,timezone_offset_min,origin_stop_id,household_vehicle_count
m00000,u0092,t00000,0,-70.726988269525,-33.434123248008596,-70.71984480243867,-33.44318511630899,2026-03-05T22:31:00Z,2026-03-05T23:27:00Z,88b2c55555fffff,88b2c55519fffff,ride_hailing,health,other,Estación Central,Las Condes,1.096,-180,STOP_4225,0
m00001,u0050,t00001,0,-70.7664780525131,-33.442380601686416,-70.8068502901764,-33.42355225218118,2026-03-03T02:57:00Z,2026-03-03T04:31:00Z,88b2c55529fffff,88b2c54249fffff,metro,education,female,Las Condes,Maipú,3.028,-180,STOP_3746,1
m00002,u0038,t00002,0,-70.76247208526274,-33.56922737646456,-70.73311489083598,-33.52517644150596,2026-03-06T00:55:00Z,2026-03-06T02:40:00Z,88b2c5456bfffff,88b2c5470dfffff,metro,shopping,other,Pudahuel,Las Condes,1.169,-180,STOP_3005,1
m00003,u0078,t00003,0,-70.68823181755903,-33.5073553043656,-70.64426244768674,-33.51773681519726,2026-03-02T14:54:00Z,2026-03-02T15:54:00Z,88b2c54661fffff,88b2c54657fffff,other,transfer,other,Santiago,Pudahuel,3.929,-180,STOP_4896,0
m00004,u0025,t00004,0,-70.78251568831885,-33.48412930279412,-70.74917785036068,-33.45149627120578,2026-03-01T13:23:00Z,2026-03-01T14:48:00Z,88b2c542e3fffff,88b2c5553dfffff,scooter,errand,unknown,Ñuñoa,Quilicura,0.517,-180,STOP_4063,1
m00005,u0035,t00005,0,-70.758661077387,-33.36905136501038,-70.72552272640853,-33.348413336802125,2026-03-04T10:43:00Z,2026-03-04T11:04:00Z,88b2c552b1fffff,88b2c552d3fffff,train,health,other,San Miguel,Providencia,3.461,-180,STOP_4095,0
m00006,u0121,t00006,0,-70.66657420519276,-33.418777915623394,-70.68936007364661,-33.40506136173333,2026-03-07T00:17:00Z,2026-03-07T02:07:00Z,88b2c55455fffff,88b2c55713fffff,train,other,other,Las Condes,Pudahuel,4.792,-180,STOP_2238,2
m00007,u0063,t00007,0,-70.47207296566629,-33.37297059307493,-70.37703837305824,-33.47405088803899,2026-03-07T21:07:00Z,2026-03-07T22:39:00Z,88b2c518c9fffff,88b2c50199fffff,other,education,male,Pudahuel,Maipú,3.225,-180,STOP_0034,1
m00008,u0030,t00008,0,-70.67824513056944,-33.51093631657603,-70.69256868582163,-33.527015449070696,2026-03-05T19:49:00Z,2026-03-05T21:16:00Z,88b2c54663fffff,88b2c5462dfffff,car,home,female,Maipú,Puente Alto,1.944,-180,STOP_2450,2
m00009,u0099,t00009,0,-70.56623873736838,-33.60313042458432,-70.5580268727373,-33.64255812204298,2026-03-07T04:14:00Z,2026-03-07T06:07:00Z,88b2c5731dfffff,88b2c5702bfffff,taxi,transfer,unknown,La Florida,Ñuñoa,3.734,-180,STOP_2986,1
m00010,u0055,t00010,0,-70.66963090107099,-33.472347636739116,-70.6763886051182,-33.49177863568912,2026-03-02T06:30:00Z,2026-03-02T07:37:00Z,88b2c554adfffff,88b2c55593fffff,bus,education,male,Maipú,Santiago,3.002,-180,STOP_3668,2
m00011,u0147,t00011,0,-70.63438177887407,-33.479493430522965,-70.64512857255465,-33.4872606958797,2026-03-03T07:08:00Z,2026-03-03T07:41:00Z,88b2c554b9fffff,88b2c554b5fffff,taxi,leisure,unknown,Ñuñoa,Santiago,1.153,-180,STOP_3134,3
m00012,u0132,t00012,0,-70.7363054554982,-33.40266785396306,-70.76367545540285,-33.410370184211004,2026-03-03T01:18:00Z,2026-03-03T02:56:00Z,88b2c55721fffff,88b2c55091fffff,ride_hailing,shopping,female,Maipú,Puente Alto,4.58,-180,STOP_2452,3
m00013,u0104,t00013,0,-70.50768140408636,-33.336414873328174,-70.48433564491575,-33.33983459938428,2026-03-03T11:40:00Z,2026-03-03T11:54:00Z,88b2c5184bfffff,88b2c51ae5fffff,taxi,home,unknown,Maipú,La Florida,2.809,-180,STOP_1513,3
m00014,u0121,t00014,0,-70.66961950135439,-33.419066186414994,-70.61255851258846,-33.46386795230142,2026-03-03T19:32:00Z,2026-03-03T20:42:00Z,88b2c55409fffff,88b2c554d3fffff,train,other,female,Quilicura,Vitacura,1.42,-180,STOP_2717,2
m00015,u0006,t00015,0,-70.65807200248645,-33.49220881651902,-70.67317291485399,-33.46427119279339,2026-03-05T05:27:00Z,2026-03-05T05:42:00Z,88b2c54649fffff,88b2c555d9fffff,bus,health,other,Maipú,Independencia,2.963,-180,STOP_2037,0
m00016,u0065,t00016,0,-70.54953519885235,-33.40403765367999,-70.56389492987726,-33.423893776144524,2026-03-05T00:45:00Z,2026-03-05T01:21:00Z,88b2c5198dfffff,88b2c519a3fffff,walk,work,female,Vitacura,Estación Central,3.261,-180,STOP_1880,3
m00017,u0103,t00017,0,-70.67250015232918,-33.53404555971866,-70.64054497238438,-33.554808196721716,2026-03-03T11:27:00Z,2026-03-03T12:13:00Z,88b2c5463dfffff,88b2c546e3fffff,other,health,female,Quilicura,Quilicura,2.351,-180,STOP_3813,3
m00018,u0088,t00018,0,-70.7306351172682,-33.560909655021746,-70.8041475196194,-33.570006486767,2026-03-05T02:36:00Z,2026-03-05T04:03:00Z,88b2c54559fffff,88b2c540b7fffff,train,errand,female,La Florida,Puente Alto,1.777,-180,STOP_1632,1
m00019,u0114,t00019,0,-70.60782544070369,-33.51059891179623,-70.55715154514014,-33.46189635949748,2026-03-01T08:54:00Z,2026-03-01T10:03:00Z,88b2c50905fffff,88b2c50b1dfffff,bicycle,home,unknown,Maipú,Pudahuel,3.841,-180,STOP_0551,1
m00020,u0047,t00020,0,-70.65054895939937,-33.524240425113234,-70.58728071734875,-33.549875832492624,2026-03-01T13:19:00Z,2026-03-01T14:03:00Z,88b2c5461dfffff,88b2c509adfffff,train,transfer,unknown,Estación Central,Providencia,4.015,-180,STOP_3599,3
m00021,u0073,t00021,0,-70.69041153130419,-33.44088023701159,-70.69731663720493,-33.44361293135386,2026-03-06T07:21:00Z,2026-03-06T08:55:00Z,88b2c5542bfffff,88b2c55423fffff,bicycle,shopping,other,Vitacura,San Miguel,4.323,-180,STOP_4433,3
m00022,u0111,t00022,0,-70.61641897818569,-33.3351364569352,-70.59585950922137,-33.37049427325975,2026-03-04T21:02:00Z,2026-03-04T22:31:00Z,88b2c5cc83fffff,88b2c51905fffff,ride_hailing,transfer,unknown,La Florida,Quilicura,3.114,-180,STOP_1484,3
m00023,u0097,t00023,0,-70.67215711899817,-33.43875972865919,-70.72561867053363,-33.406245704989296,2026-03-03T23:16:00Z,2026-03-04T01:07:00Z,88b2c55439fffff,88b2c5573dfffff,taxi,shopping,female,Providencia,Recoleta,2.148,-180,STOP_0929,0
m00024,u0069,t00024,0,-70.78805142312372,-33.63931423070651,-70.78447207889654,-33.63047746944209,2026-03-02T04:52:00Z,2026-03-02T05:36:00Z,88b2c54e87fffff,88b2c54e81fffff,taxi,education,unknown,Vitacura,Quilicura,3.709,-180,STOP_3380,1
m00025,u0090,t00025,0,-70.71642537491931,-33.43491654065997,-70.69674181179255,-33.42159024145317,2026-03-04T01:21:00Z,2026-03-04T02:37:00Z,88b2c55553fffff,88b2c55461fffff,motorcycle,errand,female,San Miguel,La Florida,4.053,-180,STOP_3594,1
m00026,u0135,t00026,0,-70.60880459708328,-33.46599494170949,-70.59235555630417,-33.440289030631305,2026-03-04T13:26:00Z,2026-03-04T13:39:00Z,88b2c554d3fffff,88b2c50b6dfffff,motorcycle,home,unknown,Las Condes,Providencia,2.031,-180,STOP_4926,1
