origin,dest,count,mode,user_gender,window_start_utc,window_end_utc,flow_count
85b2c50bfffffff,85b2c50bfffffff,22.418,bicycle,female,2026-03-01,2026-03-02,7
85b2c50bfffffff,85b2c50bfffffff,16.031,bicycle,male,2026-03-01,2026-03-02,5
85b2c50bfffffff,85b2c50bfffffff,8.697,bus,female,2026-03-01,2026-03-02,5
85b2c50bfffffff,85b2c50bfffffff,21.281,car,female,2026-03-01,2026-03-02,7
85b2c50bfffffff,85b2c50bfffffff,14.257,car,male,2026-03-01,2026-03-02,5
85b2c50bfffffff,85b2c50bfffffff,11.354000000000001,car,other,2026-03-01,2026-03-02,5
85b2c50bfffffff,85b2c50bfffffff,20.894000000000002,motorcycle,female,2026-03-01,2026-03-02,7
85b2c50bfffffff,85b2c50bfffffff,11.219,other,male,2026-03-01,2026-03-02,5
85b2c50bfffffff,85b2c50bfffffff,17.594,scooter,female,2026-03-01,2026-03-02,6
85b2c50bfffffff,85b2c50bfffffff,24.55,scooter,male,2026-03-01,2026-03-02,8
85b2c50bfffffff,85b2c50bfffffff,18.862000000000002,taxi,female,2026-03-01,2026-03-02,9
85b2c50bfffffff,85b2c50bfffffff,19.406,taxi,male,2026-03-01,2026-03-02,9
85b2c50bfffffff,85b2c50bfffffff,33.814,train,male,2026-03-01,2026-03-02,11
85b2c50bfffffff,85b2c50bfffffff,22.13,walk,female,2026-03-01,2026-03-02,7
85b2c50bfffffff,85b2c50bfffffff,17.086,walk,male,2026-03-01,2026-03-02,7
85b2c50bfffffff,85b2c50bfffffff,20.471,walk,unknown,2026-03-01,2026-03-02,7
85b2c50bfffffff,85b2c50bfffffff,27.537,bicycle,male,2026-03-02,2026-03-03,10
85b2c50bfffffff,85b2c50bfffffff,23.131,bus,female,2026-03-02,2026-03-03,7
85b2c50bfffffff,85b2c50bfffffff,28.409000000000002,bus,male,2026-03-02,2026-03-03,8
85b2c50bfffffff,85b2c50bfffffff,19.383000000000003,bus,other,2026-03-02,2026-03-03,7
85b2c50bfffffff,85b2c50bfffffff,11.565,car,female,2026-03-02,2026-03-03,7
85b2c50bfffffff,85b2c50bfffffff,9.038,car,male,2026-03-02,2026-03-03,7
85b2c50bfffffff,85b2c50bfffffff,18.556,car,unknown,2026-03-02,2026-03-03,6
