origin,dest,count
0,2,84
0,3,10
0,4,61
1,2,10
2,0,83
2,1,10
2,4,51
3,0,10
4,0,54
4,2,53
5,7,25
5,108,10
6,7,46
6,108,12
7,5,26
7,6,45
7,9,9
7,10,9
7,108,18
7,109,10
8,108,22
9,7,10
10,7,10
11,13,11
12,13,14
12,14,25
13,11,13
13,12,16
13,14,16
14,12,20
14,13,16
15,16,12
15,126,18
15,130,11
15,197,9
16,15,12
16,197,9
17,22,10
17,26,16
17,137,13
17,161,13
18,22,12
19,20,13
19,35,13
19,36,33
19,38,10
19,126,13
20,19,14
20,26,11
20,36,16
20,38,13
21,22,41
21,23,27
21,24,58
21,25,28
21,26,19
21,27,27
21,28,16
21,29,17
21,30,9
21,31,11
21,32,24
21,37,17
21,97,30
21,98,18
21,102,37
21,126,24
21,128,11
21,136,14
21,159,13
21,161,13
21,162,10
21,179,9
21,183,17
21,184,16
21,185,13
22,17,10
22,18,11
22,21,42
22,24,23
22,26,12
22,30,13
22,31,31
22,32,33
22,126,19
22,136,11
22,159,13
22,183,9
23,21,25
23,24,32
23,27,34
23,91,26
23,95,35
23,101,12
23,103,9
23,126,21
23,132,12
23,134,9
23,135,9
23,161,14
24,21,55
24,22,23
24,23,35
24,25,12
24,27,9
24,28,16
24,29,22
24,31,17
24,32,30
24,38,12
24,97,21
24,98,17
24,101,11
24,102,46
24,103,12
24,126,31
24,132,9
24,133,11
24,159,10
24,161,10
24,179,13
24,183,12
25,21,29
25,24,12
25,26,24
25,27,13
25,35,12
25,37,41
25,126,23
25,133,15
25,136,14
25,137,15
25,159,16
25,161,10
26,17,16
26,20,10
26,21,18
26,22,12
26,25,24
26,35,14
26,36,11
26,38,13
26,126,16
27,21,24
27,23,32
27,24,11
27,25,12
27,30,14
27,93,9
27,94,13
27,95,15
27,126,33
27,133,21
27,135,16
27,136,11
27,137,11
27,183,10
28,21,16
28,24,17
28,29,15
28,30,22
28,31,17
28,32,38
28,102,17
28,126,18
28,159,14
29,21,18
29,24,18
29,28,18
29,30,40
29,32,28
29,98,36
29,102,16
29,126,24
29,128,16
29,136,14
29,159,9
29,179,13
29,180,9
29,183,31
30,21,12
30,22,11
30,27,13
30,28,20
30,29,36
30,32,17
30,126,22
30,138,9
30,159,10
30,161,13
30,179,26
30,180,22
30,182,9
30,183,36
30,184,32
31,21,11
31,22,34
31,24,15
31,28,17
31,32,16
31,126,10
31,128,10
32,21,26
32,22,31
32,24,28
32,28,41
32,29,29
32,30,16
32,31,14
32,102,19
32,126,24
32,159,21
33,35,10
33,40,15
33,136,10
33,137,10
34,35,9
34,40,15
35,17,9
35,19,14
35,25,13
35,26,15
35,33,10
35,36,29
35,37,34
35,38,19
35,39,31
35,40,38
35,41,45
35,126,41
35,128,10
35,136,12
35,137,28
35,138,11
35,159,27
35,160,17
35,161,27
35,162,14
35,164,16
36,19,30
36,20,13
36,26,15
36,35,30
36,37,10
36,38,38
36,40,21
36,41,13
36,126,15
36,136,15
36,137,18
36,159,16
36,161,14
36,164,9
37,21,14
37,25,40
37,26,9
37,35,31
37,36,12
37,38,33
37,41,55
37,126,41
37,128,11
37,132,10
37,133,23
37,136,20
37,137,50
37,138,9
37,159,33
37,160,12
37,161,12
37,162,15
38,19,9
38,20,12
38,24,11
38,26,14
38,35,21
38,36,36
38,37,30
38,41,10
38,126,19
38,137,32
38,159,10
39,34,9
39,35,27
39,40,25
39,41,25
39,50,9
39,53,36
39,54,10
39,57,16
39,126,28
39,159,40
39,160,40
39,161,20
39,162,22
39,164,23
40,33,17
40,34,21
40,35,33
40,36,20
40,39,22
40,41,17
40,51,10
40,53,10
40,54,36
40,57,9
40,126,27
40,137,9
40,159,21
40,161,10
40,162,14
40,164,11
41,25,9
41,35,47
41,36,11
41,37,51
41,38,9
41,39,26
41,40,18
41,53,15
41,55,10
41,57,11
41,126,45
41,128,16
41,132,10
41,136,36
41,137,81
41,159,49
41,160,32
41,161,25
41,162,54
42,43,28
42,45,19
42,46,15
42,47,13
42,55,15
42,60,11
42,126,14
42,164,9
43,42,32
43,45,21
43,55,12
43,57,13
43,59,10
44,49,11
45,42,13
45,43,19
45,55,17
45,56,10
45,57,12
45,60,9
45,160,9
46,42,16
46,47,11
46,61,9
47,42,13
47,46,11
47,60,13
48,50,9
48,57,11
49,50,35
49,51,10
49,53,9
49,55,31
49,57,20
49,126,11
49,159,11
49,164,10
50,48,9
50,49,36
50,55,16
50,57,39
50,126,12
50,159,23
50,160,31
50,163,16
50,164,29
51,53,41
51,54,18
51,55,26
51,56,13
51,57,51
51,126,18
51,137,9
51,138,11
51,159,19
51,160,19
51,161,11
51,162,10
51,164,28
52,54,17
52,126,9
53,39,35
53,40,11
53,41,16
53,42,9
53,49,10
53,51,40
53,54,29
53,55,25
53,57,63
53,97,13
53,126,47
53,128,10
53,136,16
53,159,43
53,160,56
53,161,20
53,162,29
53,164,46
54,34,9
54,35,12
54,39,12
54,40,33
54,51,18
54,52,17
54,53,35
54,55,21
54,57,16
54,126,23
54,128,12
54,159,18
54,160,16
54,162,12
54,164,12
55,41,11
55,42,19
55,43,13
55,45,17
55,203,10
55,49,30
55,50,15
55,51,26
55,53,25
55,54,22
55,56,17
55,57,52
55,61,9
55,126,26
55,136,12
55,159,19
55,160,9
55,161,9
55,162,11
55,164,34
56,45,12
56,51,14
56,52,9
56,55,20
56,57,9
56,126,11
56,159,12
56,160,10
56,164,10
57,39,11
57,40,10
57,41,17
57,42,10
57,43,14
57,45,10
57,48,10
57,49,21
57,50,38
57,51,38
57,53,55
57,54,20
57,55,51
57,56,14
57,126,31
57,128,12
57,136,22
57,137,12
57,138,10
57,159,35
57,160,41
57,161,24
57,162,18
57,164,72
58,59,9
59,43,10
60,42,11
60,47,15
60,61,9
60,164,10
61,46,9
61,55,10
62,64,11
62,65,13
62,66,14
62,68,13
62,70,23
62,106,14
62,126,15
63,70,15
63,104,12
63,106,21
63,126,13
64,62,11
64,70,10
64,84,17
64,106,18
64,112,11
64,113,13
64,126,17
64,128,13
65,62,10
65,66,43
65,68,21
65,69,32
65,70,137
65,72,21
65,104,14
65,106,53
65,126,47
65,128,20
65,138,11
65,159,12
66,62,11
66,65,45
66,68,18
66,70,84
66,72,10
66,104,10
66,106,22
66,126,30
66,128,20
66,161,12
67,68,36
67,70,49
67,72,35
67,104,10
67,106,10
67,126,46
67,128,20
67,150,11
67,159,22
67,161,11
68,62,11
68,65,18
68,66,17
68,67,32
68,69,9
68,70,71
68,72,31
68,104,17
68,105,13
68,106,28
68,126,24
68,128,12
68,148,21
68,152,10
69,65,31
69,70,68
69,104,10
69,105,10
69,106,18
69,126,11
69,128,12
70,62,25
70,63,14
70,64,9
70,65,131
70,66,89
70,67,51
70,68,67
70,69,67
70,72,28
70,104,15
70,105,9
70,106,33
70,126,15
70,128,15
70,148,16
70,152,11
70,159,14
71,72,22
71,126,13
71,141,25
71,142,25
72,65,22
72,66,9
72,67,39
72,68,26
72,70,32
72,71,23
72,104,13
72,106,9
72,126,47
72,128,13
72,139,13
72,140,13
72,141,14
72,142,45
72,145,11
72,148,11
72,152,39
72,159,10
72,164,11
73,74,27
73,75,11
73,76,52
73,78,21
73,79,11
73,87,10
73,88,23
73,126,11
73,134,10
73,138,9
74,73,33
74,76,54
74,78,49
74,81,27
74,83,18
74,88,27
74,90,11
74,93,27
74,126,41
74,128,9
74,134,9
74,138,10
74,159,13
75,73,10
75,76,45
75,83,21
75,88,41
75,126,13
76,73,51
76,74,44
76,75,38
76,78,9
76,79,18
76,83,87
76,85,22
76,86,12
76,87,16
76,88,99
76,89,53
76,93,9
76,126,15
77,75,9
77,78,21
77,93,30
77,126,11
78,73,25
78,74,47
78,77,19
78,83,12
78,88,13
78,93,25
78,99,23
78,104,10
78,126,18
79,73,10
79,76,19
79,88,23
80,97,9
80,175,27
80,177,12
80,180,18
80,182,12
80,183,9
81,74,26
81,93,9
81,97,11
81,99,10
81,100,22
81,103,11
81,126,12
82,100,18
82,103,11
82,126,11
82,185,14
83,74,20
83,75,17
83,76,83
83,87,18
83,88,48
83,89,24
83,91,11
83,93,12
83,126,15
84,64,16
84,106,9
84,126,12
85,76,20
85,79,9
85,88,13
85,89,29
86,76,12
86,89,12
87,73,10
87,76,17
87,83,17
87,86,9
87,88,10
87,89,9
88,73,20
88,74,32
88,75,43
88,76,94
88,78,11
88,79,22
88,83,49
88,85,16
88,87,9
88,89,43
88,115,10
89,76,59
89,83,21
89,85,30
89,86,11
89,87,13
89,88,42
89,126,12
89,128,10
90,74,12
90,91,41
90,92,10
90,93,38
90,94,37
90,95,30
90,96,20
90,103,14
90,105,9
90,126,32
90,128,12
90,134,15
90,135,15
90,136,10
90,161,9
91,23,28
91,90,42
91,93,27
91,97,36
91,101,34
91,103,25
91,126,20
92,90,12
92,93,15
92,96,21
92,105,21
92,126,16
92,134,10
93,27,10
93,74,25
93,76,9
93,77,32
93,78,24
93,81,9
93,83,10
93,90,45
93,91,27
93,92,12
93,94,18
93,97,13
93,103,45
93,105,10
93,126,28
93,128,10
93,134,13
94,27,14
94,90,36
94,93,17
94,95,50
94,96,49
94,126,38
94,128,10
94,132,10
94,134,69
94,135,47
94,136,14
94,138,10
94,147,33
94,159,11
94,161,9
95,23,33
95,27,16
95,90,27
95,94,49
95,126,27
95,134,15
95,135,33
95,138,12
95,161,10
96,90,19
96,92,18
96,94,52
96,105,27
96,126,30
96,128,20
96,134,24
96,147,38
96,159,9
97,21,27
97,23,10
97,24,19
97,53,11
97,80,9
97,81,13
97,91,33
97,93,12
97,98,11
97,99,25
97,100,12
97,101,50
97,102,23
97,103,55
97,126,54
97,132,11
97,134,10
97,135,13
97,136,11
97,159,14
97,161,13
98,21,22
98,24,17
98,29,37
98,97,12
98,102,18
98,126,20
