movement_id,user_id,trip_id,movement_seq,origin_longitude,origin_latitude,destination_longitude,destination_latitude,origin_time_utc,destination_time_utc,origin_h3_index,destination_h3_index
m00000,u0053,t00000,0,-70.63893331222754,-33.350164001195246,-70.62546836396244,-33.35391533367104,2026-03-03T15:16:00Z,2026-03-03T16:44:00Z,88b2c5ccb5fffff,88b2c5ccb7fffff
m00001,u0464,t00001,0,-70.77214310460172,-33.47020138674424,-70.85613918403072,-33.488504352725954,2026-03-07T08:58:00Z,2026-03-07T09:52:00Z,88b2c542c1fffff,88b2c54061fffff
m00002,u0392,t00002,0,-70.51376447365266,-33.420923652972874,-70.54519155478336,-33.351933730884426,2026-03-04T22:57:00Z,2026-03-05T00:43:00Z,88b2c51993fffff,88b2c51865fffff
m00003,u0263,t00003,0,-70.57908052681468,-33.642793757263995,-70.53090022475043,-33.64548568036135,2026-03-03T18:54:00Z,2026-03-03T20:50:00Z,88b2c57153fffff,88b2c57015fffff
m00004,u0259,t00004,0,-70.65045609615122,-33.54250781282123,-70.64728749423905,-33.49615084827033,2026-03-01T11:10:00Z,2026-03-01T11:42:00Z,88b2c546edfffff,88b2c5464bfffff
m00005,u0515,t00005,0,-70.90363756632473,-33.47350231361217,-70.96031792284886,-33.479370983536406,2026-03-02T10:18:00Z,2026-03-02T12:15:00Z,88b2c54325fffff,88b2c558a9fffff
m00006,u0051,t00006,0,-70.7583415978659,-33.53577064171415,-70.66410875060197,-33.527992012468104,2026-03-04T14:04:00Z,2026-03-04T14:09:00Z,88b2c5472dfffff,88b2c54607fffff
m00007,u0418,t00007,0,-70.59122388684001,-33.39284828138955,-70.59238155613261,-33.43248920353891,2026-03-04T01:12:00Z,2026-03-04T01:31:00Z,88b2c51937fffff,88b2c55697fffff
m00008,u0120,t00008,0,-70.53871163082768,-33.29021627754016,-70.52333827245513,-33.3036284552962,2026-03-07T08:24:00Z,2026-03-07T08:33:00Z,88b2c5c5b5fffff,88b2c51b5bfffff
m00009,u0056,t00009,0,-70.54908301885078,-33.544129177554346,-70.53310202860898,-33.53781313743067,2026-03-06T18:02:00Z,2026-03-06T18:49:00Z,88b2c5098bfffff,88b2c509d1fffff
m00010,u0315,t00010,0,-70.81920130022414,-33.51699707232682,-70.83390511887055,-33.46941695739802,2026-03-02T08:42:00Z,2026-03-02T10:34:00Z,88b2c54017fffff,88b2c54227fffff
m00011,u0585,t00011,0,-70.62984476931871,-33.43116413053521,-70.65894771659157,-33.42450464720492,2026-03-05T09:22:00Z,2026-03-05T10:36:00Z,88b2c556a1fffff,88b2c55457fffff
