movement_id,user_id,trip_id,movement_seq,origin_longitude,origin_latitude,destination_longitude,destination_latitude,origin_time_utc,destination_time_utc,mode,purpose,user_gender,origin_municipality,destination_municipality,trip_weight,timezone_offset_min,personal_income_band,origin_stop_id,origin_sector_id,household_size
m00000,u0101,t00000,0,-70.65046175819776,-33.52206431444705,-70.6206687107849,-33.55929736549912,2026-03-07T13:56:00Z,2026-03-07T14:11:00Z,bicycle,Por estudio,other,Quilicura,Pudahuel,0.908,-180,200k-400k,STOP_3352,SEC_253,1
m00001,u0140,t00001,0,-70.84587562196913,-33.389812046414924,-70.86441369640153,-33.39380826083853,2026-03-01T20:05:00Z,2026-03-01T21:52:00Z,car,De compras,female,Pudahuel,Quilicura,2.263,-180,200k-400k,STOP_2840,SEC_276,4
m00002,u0487,t00002,0,-70.77345251977026,-33.42286306655763,-70.75473792542228,-33.44673228979394,2026-03-06T16:34:00Z,2026-03-06T17:59:00Z,train,Comer o Tomar algo,female,Vitacura,San Miguel,1.674,-180,400k-800k,STOP_3679,SEC_232,4
m00003,u0252,t00003,0,-70.72075110804118,-33.473752100778455,-70.68922387663677,-33.474589613487225,2026-03-07T22:47:00Z,2026-03-08T00:32:00Z,other,Por trabajo,unknown,Independencia,Recoleta,3.562,-180,<200k,STOP_1308,SEC_524,2
m00004,u0122,t00004,0,-70.83143814638895,-33.47435626246408,-70.85458765827855,-33.409434292406644,2026-03-04T07:35:00Z,2026-03-04T09:09:00Z,motorcycle,Al estudio,unknown,Providencia,San Miguel,1.166,-180,no_income,STOP_3178,SEC_027,6
m00005,u0399,t00005,0,-70.66779524330522,-33.48302280752947,-70.67344115882949,-33.495211880878465,2026-03-04T01:51:00Z,2026-03-04T02:21:00Z,motorcycle,health,male,Estación Central,Las Condes,2.957,-180,no_income,STOP_3314,SEC_101,4
m00006,u0223,t00006,0,-70.75087712047286,-33.49992627485865,-70.73356344782408,-33.50064409952897,2026-03-06T03:30:00Z,2026-03-06T03:53:00Z,ride_hailing,Recreación,unknown,La Florida,Estación Central,4.057,-180,200k-400k,STOP_1468,SEC_210,8
m00007,u0590,t00007,0,-70.58183242099706,-33.44965030522508,-70.66174579343513,-33.466400392408296,2026-03-06T01:23:00Z,2026-03-06T02:53:00Z,metro,Al trabajo,unknown,Puente Alto,Santiago,3.892,-180,200k-400k,STOP_2833,SEC_484,8
m00008,u0531,t00008,0,-70.64030828533963,-33.42883375515129,-70.57117837923353,-33.4405594724623,2026-03-07T11:47:00Z,2026-03-07T13:28:00Z,metro,other,unknown,Santiago,Pudahuel,3.475,-180,no_income,STOP_0119,SEC_119,5
m00009,u0417,t00009,0,-70.6802889330328,-33.32043914180374,-70.65598551167487,-33.29399888750689,2026-03-04T09:50:00Z,2026-03-04T11:07:00Z,scooter,errand,male,Maipú,San Miguel,2.55,-180,200k-400k,STOP_2444,SEC_021,8
m00010,u0486,t00010,0,-70.61200283808287,-33.46446039783422,-70.6332058101578,-33.459843241256905,2026-03-03T01:20:00Z,2026-03-03T02:32:00Z,motorcycle,Visitar a alguien,male,Recoleta,Puente Alto,2.584,-180,200k-400k,STOP_0175,SEC_160,1
m00011,u0025,t00011,0,-70.84139713407711,-33.353872991657354,-70.8943021273464,-33.30572437740393,2026-03-04T23:17:00Z,2026-03-05T00:41:00Z,taxi,volver a casa,male,Las Condes,Estación Central,4.618,-180,200k-400k,STOP_2671,SEC_124,5
m00012,u0263,t00012,0,-70.66678185470325,-33.41531319005807,-70.65268750340584,-33.40488505493634,2026-03-06T09:02:00Z,2026-03-06T10:27:00Z,scooter,Buscar o Dejar a alguien,unknown,Santiago,Recoleta,4.276,-180,<200k,STOP_3513,SEC_475,8
m00013,u0414,t00013,0,-70.62949177953396,-33.32763232855413,-70.57930865150269,-33.325256527391616,2026-03-04T17:53:00Z,2026-03-04T18:56:00Z,scooter,work,other,Quilicura,Santiago,4.464,-180,800k+,STOP_1044,SEC_193,6
m00014,u0352,t00014,0,-70.6382794266548,-33.49096120448433,-70.6177466053327,-33.50540982771969,2026-03-06T14:51:00Z,2026-03-06T16:34:00Z,metro,leisure,other,Maipú,Quilicura,4.809,-180,<200k,STOP_1618,SEC_407,4
